facility_code,facility_name,date,date_year,date_quarter,date_month,category,vol_treated,pct_treated_in_time,pct_variation_treated_prior_year,vol_wait,vol_long_wait,pct_waiting_in_time_total,date_last_update,vol_long_wait_RFS,vol_long_wait_NRFS,pct_waiting_in_time_RFS
11,Princess Alexandra,1/10/2015,2015,4,10,ALL,990,93,-24,2916,148,95,6/11/2015,114,34,95
174,Proserpine,1/10/2015,2015,4,10,1,2,100,0,4,0,100,6/11/2015,0,0,100
174,Proserpine,1/10/2015,2015,4,10,2,12,100,0,42,0,100,6/11/2015,0,0,100
174,Proserpine,1/10/2015,2015,4,10,3,1,100,0,7,0,100,6/11/2015,0,0,100
174,Proserpine,1/10/2015,2015,4,10,ALL,15,100,0,53,0,100,6/11/2015,0,0,100
22,Queen Elizabeth II,1/10/2015,2015,4,10,1,138,99,-27,112,0,100,6/11/2015,0,0,100
22,Queen Elizabeth II,1/10/2015,2015,4,10,2,241,95,-7,576,7,99,6/11/2015,6,1,99
22,Queen Elizabeth II,1/10/2015,2015,4,10,3,71,100,-8,748,2,100,6/11/2015,2,0,100
22,Queen Elizabeth II,1/10/2015,2015,4,10,ALL,450,97,-15,1436,9,99,6/11/2015,8,1,99
99999,Queensland,1/10/2015,2015,4,10,1,4126,97,-7,2874,22,99,6/11/2015,15,7,99
99999,Queensland,1/10/2015,2015,4,10,2,4886,94,3,11644,302,97,6/11/2015,246,56,97
99999,Queensland,1/10/2015,2015,4,10,3,2800,98,40,22464,55,100,6/11/2015,35,20,100
99999,Queensland,1/10/2015,2015,4,10,ALL,11812,96,6,36982,379,99,6/11/2015,296,83,99
16,Redcliffe,1/10/2015,2015,4,10,1,178,84,11,149,2,99,6/11/2015,2,0,98
16,Redcliffe,1/10/2015,2015,4,10,2,217,87,7,508,23,96,6/11/2015,15,8,97
16,Redcliffe,1/10/2015,2015,4,10,3,59,95,60,624,3,100,6/11/2015,1,2,100
16,Redcliffe,1/10/2015,2015,4,10,ALL,454,87,13,1281,28,98,6/11/2015,18,10,98
28,Redland,1/10/2015,2015,4,10,1,51,100,-16,40,0,100,6/11/2015,0,0,100
28,Redland,1/10/2015,2015,4,10,2,81,100,-21,196,0,100,6/11/2015,0,0,100
28,Redland,1/10/2015,2015,4,10,3,30,100,329,298,0,100,6/11/2015,0,0,100
28,Redland,1/10/2015,2015,4,10,ALL,162,100,-5,534,0,100,6/11/2015,0,0,100
934,Robina,1/10/2015,2015,4,10,1,101,100,28,44,0,100,6/11/2015,0,0,100
934,Robina,1/10/2015,2015,4,10,2,182,100,19,415,0,100,6/11/2015,0,0,100
934,Robina,1/10/2015,2015,4,10,3,97,100,-29,760,0,100,6/11/2015,0,0,100
934,Robina,1/10/2015,2015,4,10,ALL,380,100,3,1219,0,100,6/11/2015,0,0,100
141,Rockhampton,1/10/2015,2015,4,10,1,95,100,-10,86,0,100,6/11/2015,0,0,100
141,Rockhampton,1/10/2015,2015,4,10,2,165,100,20,485,0,100,6/11/2015,0,0,100
141,Rockhampton,1/10/2015,2015,4,10,3,81,100,59,1043,0,100,6/11/2015,0,0,100
141,Rockhampton,1/10/2015,2015,4,10,ALL,341,100,16,1614,0,100,6/11/2015,0,0,100
119,Roma,1/10/2015,2015,4,10,1,9,100,0,5,1,80,6/11/2015,1,0,80
119,Roma,1/10/2015,2015,4,10,2,19,100,0,24,0,100,6/11/2015,0,0,100
119,Roma,1/10/2015,2015,4,10,3,47,100,0,149,0,100,6/11/2015,0,0,100
119,Roma,1/10/2015,2015,4,10,ALL,75,100,0,178,1,99,6/11/2015,1,0,99
201,Royal Brisbane & Women's,1/10/2015,2015,4,10,1,689,94,-3,486,1,100,6/11/2015,0,1,100
201,Royal Brisbane & Women's,1/10/2015,2015,4,10,2,507,91,-9,1069,27,98,6/11/2015,24,3,97
201,Royal Brisbane & Women's,1/10/2015,2015,4,10,3,189,92,72,1695,8,100,6/11/2015,4,4,100
201,Royal Brisbane & Women's,1/10/2015,2015,4,10,ALL,1385,93,1,3250,36,99,6/11/2015,28,8,99
7,Royal Children's,1/10/2015,2015,4,10,1,0,0,0,0,0,0,6/11/2015,0,0,0
7,Royal Children's,1/10/2015,2015,4,10,2,0,0,0,0,0,0,6/11/2015,0,0,0
7,Royal Children's,1/10/2015,2015,4,10,3,1,0,-99,0,0,0,6/11/2015,0,0,0
7,Royal Children's,1/10/2015,2015,4,10,ALL,1,0,-100,0,0,0,6/11/2015,0,0,0
120,St George,1/10/2015,2015,4,10,1,2,50,0,2,0,100,6/11/2015,0,0,100
120,St George,1/10/2015,2015,4,10,2,4,100,0,9,0,100,6/11/2015,0,0,100
120,St George,1/10/2015,2015,4,10,3,0,0,0,7,0,100,6/11/2015,0,0,100
